item,price,location,unit,quantity,date,currency,external_id
TEBRAMIL ADVANCED ( 0-6 M) 1 400G,42.000,tripoli,pack,1,2026-09-03,LYD,https://dsm.ly/ar-ly/child-care/baby-formula#tebramil-advanced-1-400g
LINALAC ULTIMATE 1 (0/6)MONTHS 400G,41.000,tripoli,pack,1,2026-09-03,LYD,https://dsm.ly/ar-ly/child-care/baby-formula#linalac-ultimate-1-400g
Bebelac 1 400g (Danone – Holland),41.000,tripoli,pack,1,2026-09-03,LYD,https://dsm.ly/ar-ly/child-care/baby-formula#bebelac-1-400g
TEBRAMIL 8 CEREALS & HONEY + CALCIUM 300G,29.000,tripoli,pack,0.75,2026-09-03,LYD,https://dsm.ly/ar-ly/child-care/baby-formula#tebramil-8-cereals-300g
ORS ELECTROLYTE POWDER 10SACHETS SUGAR FREE,20.000,tripoli,piece,10,2026-09-03,LYD,https://dsm.ly/ar-ly/all-products/ors-electrolyte-powder-10sachets-sugar-free
العبوة سعة 7 لترات,3.5,tripoli,l,7,2026-08-25,LYD,https://www.alaraby.co.uk/economy/ارتفاع-أسعار-المياه-المعبأة-في-ليبيا#7l
العبوة سعة سبعة لترات,3.0,tripoli,l,7,2026-04-06,LYD,https://www.alaraby.co.uk/economy/اضطراب-الإمدادات-العالمية-يرفع-أسعار-مياه-الشرب-في-ليبيا#7l
الكراسة المكونة من 60 ورقة,1.25,tripoli,piece,1,2026-08-17,LYD,https://t.me/almasartvlibya/71369#notebook-60-low
الكراسة المكونة من 60 ورقة,1.5,tripoli,piece,1,2026-08-17,LYD,https://t.me/almasartvlibya/71369#notebook-60-high
الكراسة المكونة من 100 ورقة,3.0,tripoli,piece,1,2026-08-17,LYD,https://t.me/almasartvlibya/71369#notebook-100-low
الكراسة المكونة من 100 ورقة,3.5,tripoli,piece,1,2026-08-17,LYD,https://t.me/almasartvlibya/71369#notebook-100-high
تعبئة أسطوانات الغاز سعة 11 كيلو,20,tripoli,piece,1,2026-04-22,LYD,https://t.me/almasartvlibya/62095#street
كيلو الدجاج,22.90,tripoli,kg,1,2026-09-03,LYD,https://t.me/almasartvlibya/72858
طبق البيض,14,tripoli,piece,30,2026-08-29,LYD,https://t.me/almasartvlibya/72363
طبق البيض,15,tripoli,piece,30,2026-08-15,LYD,https://t.me/almasartvlibya/71207
طبق البيض,13,tripoli,piece,30,2026-08-03,LYD,https://t.me/almasartvlibya/70251
كيلو الطماطم الشمسي,5,tripoli,kg,1,2026-08-11,LYD,https://t.me/almasartvlibya/70909
