item,price,location,unit,quantity,date,currency,external_id
Eggs,15,ajdabiya,piece,30,2024-04-15,LYD,wfp-hdx:92:2320:2024-04-15
Eggs,17.63,ajdabiya,piece,30,2024-05-15,LYD,wfp-hdx:92:2320:2024-05-15
Eggs,17.5,ajdabiya,piece,30,2024-06-15,LYD,wfp-hdx:92:2320:2024-06-15
Eggs,15,ajdabiya,piece,30,2024-07-15,LYD,wfp-hdx:92:2320:2024-07-15
Eggs,18.5,ajdabiya,piece,30,2024-08-15,LYD,wfp-hdx:92:2320:2024-08-15
Eggs,14,ajdabiya,piece,30,2024-09-15,LYD,wfp-hdx:92:2320:2024-09-15
Eggs,11.88,ajdabiya,piece,30,2024-10-15,LYD,wfp-hdx:92:2320:2024-10-15
Eggs,14.25,ajdabiya,piece,30,2024-11-15,LYD,wfp-hdx:92:2320:2024-11-15
Eggs,13.88,ajdabiya,piece,30,2024-12-15,LYD,wfp-hdx:92:2320:2024-12-15
Eggs,17.25,ajdabiya,piece,30,2025-01-15,LYD,wfp-hdx:92:2320:2025-01-15
Eggs,13.38,ajdabiya,piece,30,2025-02-15,LYD,wfp-hdx:92:2320:2025-02-15
Eggs,18.25,ajdabiya,piece,30,2025-03-15,LYD,wfp-hdx:92:2320:2025-03-15
Eggs,14,ajdabiya,piece,30,2025-04-15,LYD,wfp-hdx:92:2320:2025-04-15
Eggs,19,ajdabiya,piece,30,2025-05-15,LYD,wfp-hdx:92:2320:2025-05-15
Eggs,18,ajdabiya,piece,30,2025-06-15,LYD,wfp-hdx:92:2320:2025-06-15
Eggs,17.75,ajdabiya,piece,30,2025-10-15,LYD,wfp-hdx:92:2320:2025-10-15
Eggs,18.75,ajdabiya,piece,30,2025-11-15,LYD,wfp-hdx:92:2320:2025-11-15
Eggs,22,ajdabiya,piece,30,2025-12-15,LYD,wfp-hdx:92:2320:2025-12-15
Eggs,20.5,ajdabiya,piece,30,2026-01-15,LYD,wfp-hdx:92:2320:2026-01-15
